"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2020-09-25","73.4","0.95","6.31","Clayton Kershaw",650859,477132,"null","swinging_strike_blocked",,,,,"14","null","R","R","L","LAD","LAA","S","null","null",0,1,2020,"-0.4","-1.5","0.40","0.89","null",545358,"null",1,4,"Top","null","null",,,"605131",,"null",-0.4680408291778161,-106.8658265825485,-1.0022175697923033,-2.7486618967073007,21.004643795547935,-43.39390915700275,"3.23","1.52","null","null","null","72.9","2697","6.2",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.28","null","null","null","null","null","null","null",33,"2","Curveball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"SL","2020-09-25","86.8","1.37","6.19","Clayton Kershaw",650859,477132,"null","foul",,,,,"7","null","R","R","L","LAD","LAA","S","null","null",0,0,2020,"-0.4","0.8","-0.65","1.97","null",545358,"null",1,4,"Top","null","null",,,"605131",,"null",-4.026814750375899,-126.3033601808153,-5.535455657253626,-3.453032114670394,25.433904945681174,-22.806207572049015,"3.23","1.52","null","null","null","86.7","2654","6.2",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.31","null","null","null","null","null","null","null",33,"1","Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"SL","2020-09-25","87.3","1.40","6.22","Clayton Kershaw",621493,477132,"strikeout","swinging_strike",,,,,"13","Taylor Ward strikes out swinging.  ","R","R","L","LAD","LAA","S",2,"null",1,2,2020,"-0.1","0.8","-0.48","1.30","null",545358,"null",0,4,"Top","null","null",,,"605131",,"null",-4.2542257575614,-126.99719487317306,-7.272275490633035,-0.5803622529525059,25.76686508424103,-22.52682244926317,"3.31","1.60","null","null","null","87.2","2686","6.2",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.25","null","null","0.00",1,0,0,"null",32,"4","Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"CU","2020-09-25","73.5","1.02","6.35","Clayton Kershaw",621493,477132,"null","swinging_strike_blocked",,,,,"14","null","R","R","L","LAD","LAA","S","null","null",1,1,2020,"-0.7","-1.3","0.04","0.71","null",545358,"null",0,4,"Top","null","null",,,"605131",,"null",-0.7156819365915368,-107.003260642075,-1.7561478078036952,-5.450826560708664,20.63557377626183,-42.09502527583232,"3.31","1.60","null","null","null","72.8","2756","6.0",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.51","null","null","null","null","null","null","null",32,"3","Curveball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"SL","2020-09-25","85.9","1.28","6.22","Clayton Kershaw",621493,477132,"null","swinging_strike",,,,,"7","null","R","R","L","LAD","LAA","S","null","null",1,0,2020,"-0.5","0.8","-0.73","2.07","null",545358,"null",0,4,"Top","null","null",,,"605131",,"null",-3.807936495879599,-125.08503359079317,-5.2164239404426995,-4.151962096945831,25.53279102167448,-22.941308222550617,"3.31","1.60","null","null","null","86.0","2683","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.17","null","null","null","null","null","null","null",32,"2","Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"FF","2020-09-25","90.1","1.35","6.15","Clayton Kershaw",621493,477132,"null","ball",,,,,"11","null","R","R","L","LAD","LAA","B","null","null",0,0,2020,"-0.6","1.6","-1.39","2.78","null",545358,"null",0,4,"Top","null","null",,,"605131",,"null",-5.580918201443447,-130.9826238777328,-5.788555911407415,-5.24901224897599,29.685625123104263,-12.638718417801485,"3.23","1.60","null","null","null","89.7","2452","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.22","null","null","null","null","null","null","null",32,"1","4-Seam Fastball",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"SL","2020-09-25","86.9","1.55","6.23","Clayton Kershaw",545358,477132,"double","hit_into_play_no_out",,,,,"5","Max Stassi doubles (2) on a sharp line drive to left fielder AJ Pollock.  ","R","R","L","LAD","LAA","X",7,"line_drive",0,0,2020,"-0.3","1.1","0.11","2.50","null","null","null",0,4,"Top","73.29","55.74",,,"605131",,"null",-2.9159382429655047,-126.51739984405825,-4.969790388028197,-2.1797106609570154,24.294908775622154,-19.97165414729067,"3.53","1.67","288","105.6","17","87.0","2593","6.2",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.32","0.614","0.654","1.25",1,1,1,5,31,"1","Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard"
"FF","2020-09-25","89.7","1.54","6.29","Clayton Kershaw",457708,477132,"home_run","hit_into_play_score",,,,,"7","Justin Upton homers (9) on a fly ball to left center field.  ","R","R","L","LAD","LAA","X","null","fly_ball",0,1,2020,"0.0","1.9","-0.68","1.82","null","null","null",0,4,"Top","63.84","50.51",,,"605131",,"null",-5.467797756313243,-130.27777152358286,-9.126104114016433,1.0563351462397546,25.694921551230486,-8.388145237790123,"3.41","1.59","380","103.3","41","89.5","2534","6.1",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.36","0.264","0.460","2.00",1,0,3,5,30,"2","4-Seam Fastball",2,3,3,2,3,2,3,2,"Infield shift","Standard"
"FF","2020-09-25","89.6","1.62","6.18","Clayton Kershaw",457708,477132,"null","swinging_strike",,,,,"6","null","R","R","L","LAD","LAA","S","null","null",0,0,2020,"0.0","1.5","0.61","2.21","null","null","null",0,4,"Top","null","null",,,"605131",,"null",-2.4051715328492183,-130.44784118193397,-7.076470360131843,0.029705559953336784,25.996195116072293,-13.445555381148047,"3.41","1.59","null","null","null","89.8","2468","6.3",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","54.24","null","null","null","null","null","null","null",30,"1","4-Seam Fastball",2,3,3,2,3,2,3,2,"Infield shift","Standard"
"FF","2020-09-25","90.4","1.42","6.12","Clayton Kershaw",405395,477132,"field_out","hit_into_play",,,,,"6","Albert Pujols lines out to center fielder Cody Bellinger.  ","R","R","L","LAD","LAA","X",8,"line_drive",3,2,2020,"-0.1","1.4","0.33","2.62","null","null",543685,2,3,"Top","160.30","71.47",,,"605131",,"null",-2.5411551704545676,-131.59389029902403,-5.81556877527809,-0.45939152717456044,26.281175733202815,-14.956446437511048,"3.21","1.57","358","94.8","24","91.0","2276","6.5",631336,477132,"605131","571970","571771","457759","608369","572041","641355","605141","53.98","0.293","0.364","0.00",1,0,0,5,23,"7","4-Seam Fastball",1,3,3,1,3,1,3,1,"Infield shift","Standard"
